CONCELHO,LAT,LONG
Penalva do Castelo,40.676273,-7.698391
Penamacor,40.168946,-7.169867
Penedono,40.988749,-7.393859
Penela,40.033333,-8.383333
Peniche,39.357486,-9.380439
Peso da Régua,41.164912,-7.787034
Pinhel,40.774029,-7.06675
Pombal,39.916738,-8.628474
Ponte da Barca,41.804509,-8.415541
Ponte de Lima,41.767188,-8.583926
Ponte de Sor,39.24964,-8.01009
Portalegre,39.297178,-7.430151
Portel,38.30697,-7.702435
Portimão,37.136636,-8.539796
Porto,41.149606,-8.610993
Porto de Mós,39.601911,-8.818389
Póvoa de Lanhoso,41.577713,-8.268468
Póvoa de Varzim,41.38344,-8.763637
Proença-a-Nova,39.752204,-7.923903
Redondo,38.648716,-7.547082
Reguengos de Monsaraz,38.425293,-7.534945
Resende,41.105822,-7.966497
Ribeira de Pena,41.52147,-7.802372
Rio Maior,39.337325,-8.939063
Sabrosa,41.267017,-7.576007
Sabugal,40.351267,-7.091036
Salvaterra de Magos,39.027881,-8.793502
Santa Comba Dão,40.398559,-8.131601
Santa Maria da Feira,40.9257,-8.54123
Santa Marta de Penaguião,41.211161,-7.800111
Santarém,39.233333,-8.683333
Santiago do Cacém,38.016935,-8.69475
Santo Tirso,41.342567,-8.477456
São Brás de Alportel,37.1531,-7.887515
São João da Madeira,40.900956,-8.499744
São João da Pesqueira,41.148051,-7.404888
São Pedro do Sul,40.75537,-8.072646
Sardoal,39.535994,-8.161413
Sátão,40.741775,-7.732855
Seia,40.415099,-7.708586
Seixal,38.64008,-9.101412
Sernancelhe,40.898706,-7.493419
Serpa,37.945811,-7.597537
Sertã,39.808461,-8.098829
Sesimbra,38.444513,-9.101236
Setúbal,38.533333,-8.9
Sever do Vouga,40.734588,-8.367219
Silves,37.189213,-8.438217
Sines,37.956215,-8.869788
Sintra,38.800971,-9.378257
Sobral de Monte Agraço,39.019579,-9.150809
Soure,40.05989,-8.626053
Sousel,38.952894,-7.675286
Tábua,40.362074,-8.02936
Tabuaço,41.116147,-7.567934
Tarouca,41.014444,-7.781432
Tavira,37.127338,-7.648609
Terras de Bouro,41.717691,-8.30888
Tomar,39.601987,-8.409242
Tondela,40.516815,-8.080866
Torre de Moncorvo,41.174537,-7.05364
Torres Novas,39.481143,-8.539493
Torres Vedras,39.091089,-9.258602
Trancoso,40.783291,-7.350157
Trofa,41.322784,-8.572016
Vagos,40.555998,-8.68175
Vale de Cambra,40.849701,-8.393892
Valença,42.03104,-8.645953
Valongo,41.195007,-8.51027
Valpaços,41.607461,-7.310876
Vendas Novas,38.677056,-8.457924
Viana do Alentejo,38.33458,-8.004399
Viana do Castelo,41.693234,-8.832869
Vidigueira,38.209949,-7.800504
Vieira do Minho,41.632923,-8.142521
Vila de Rei,39.67604,-8.145768
Vila do Bispo,37.083172,-8.911438
Vila do Conde,41.354811,-8.743397
Vila Flor,41.309043,-7.153784
Vila Franca de Xira,38.955249,-8.98966
Vila Nova da Barquinha,39.45,-8.433333
Vila Nova de Cerveira,41.941184,-8.742304
Vila Nova de Famalicão,41.40797,-8.51978
Vila Nova de Foz Côa,41.083333,-7.2
Vila Nova de Gaia,41.133633,-8.617421
Vila Nova de Paiva,40.852907,-7.727911
Vila Nova de Poiares,40.20649917,-8.254498982
Vila Pouca de Aguiar,41.500176,-7.64383
Vila Real,41.30062,-7.744129
Vila Real de Santo António,37.194999,-7.417658
Vila Velha de Ródão,39.666667,-7.7
Vila Verde,41.647294,-8.43715
Vila Viçosa,38.777696,-7.417927
Vimioso,41.584726,-6.52767
Vinhais,41.835094,-7.005007
Viseu,40.661014,-7.909714
Vizela,41.390962,-8.263888
Vouzela,40.723613,-8.112833
